Ranking,Airport,Passenger Number
1,"ATLANTA GA, US (ATL)",103902992
2,"BEIJING, CN (PEK)",95786442
3,"DUBAI, AE (DXB)",88242099
4,"TOKYO, JP (HND)",85408975
5,"LOS ANGELES CA, US (LAX)",84557968
6,"CHICAGO IL, US (ORD)",79828183
7,"LONDON, GB (LHR)",78014598
8,"HONG KONG, HK (HKG)",72664075
9,"SHANGHAI, CN (PVG)",70001237
10,"PARIS, FR (CDG)",69471442
11,"AMSTERDAM, NL (AMS)",68515425
12,"DALLAS/FORT WORTH TX, US (DFW)",67092194
13,"GUANGZHOU, CN (CAN)",65887473
14,"FRANKFURT, DE (FRA)",64500386
15,"ISTANBUL, TR (IST)",64119374
16,"NEW DELHI, IN (DEL)",63451503
17,"JAKARTA, ID (CGK)",63015620
18,"SINGAPORE, SG (SIN)",62220000
19,"INCHEON, KR (ICN)",62157834
20,"DENVER CO, US (DEN)",61379396
