Province_State,Country_Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,LOC_id
Hubei,China,2020-03-12T09:53:06,67781,3056,50318,30.9756,112.2707,1
,Italy,2020-03-11T21:33:02,12462,827,1045,43,12,2
,Iran,2020-03-12T11:13:27,10075,429,2959,32,53,3
,"Korea, South",2020-03-12T05:13:02,7869,66,333,36,128,4
France,France,2020-03-11T22:53:03,2281,48,12,46.2276,2.2137,5
,Spain,2020-03-12T01:17:58,2277,55,183,40,-4,6
,Germany,2020-03-12T09:53:06,2078,3,25,51,9,7
Guangdong,China,2020-03-12T03:53:02,1356,8,1289,23.3417,113.4244,8
Henan,China,2020-03-11T08:13:09,1273,22,1249,33.882,113.614,9
Zhejiang,China,2020-03-12T01:33:02,1215,1,1197,29.1832,120.0934,10
Hunan,China,2020-03-12T09:53:06,1018,4,999,27.6104,111.7088,11
Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264,12
Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221,13
Shandong,China,2020-03-12T07:53:02,760,6,734,36.3427,118.1498,14
,Norway,2020-03-12T13:13:31,702,0,1,60.472,8.4689,15
Diamond Princess,Cruise Ship,2020-03-11T22:13:12,696,7,325,35.4437,139.638,16
,Switzerland,2020-03-11T20:53:02,652,4,4,46.8182,8.2275,17
,Japan,2020-03-12T05:13:02,639,16,118,36,138,18
Jiangsu,China,2020-03-12T05:13:02,631,0,629,32.9711,119.455,19
Denmark,Denmark,2020-03-12T09:53:06,615,0,1,56.2639,9.5018,20
,Sweden,2020-03-12T21:39:09,599,1,1,63,16,21
Chongqing,China,2020-03-12T23:44:32,576,6,564,30.0572,107.874,22
Sichuan,China,2020-03-12T12:13:07,539,3,498,30.6171,102.7103,23
,Netherlands,2020-03-11T14:13:11,503,5,0,52.1326,5.2913,24
Heilongjiang,China,2020-03-12T13:13:31,482,13,441,47.862,127.7615,25
UK,United Kingdom,2020-03-11T21:33:03,456,8,18,55.3781,-3.436,26
Washington,US,2020-03-12T23:44:33,442,31,1,47.4009,-121.4905,27
Beijing,China,2020-03-12T01:13:05,435,8,334,40.1824,116.4142,28
Shanghai,China,2020-03-12T07:53:02,344,3,321,31.202,121.4491,29
New York,US,2020-03-12T21:39:10,328,0,0,42.1657,-74.9481,30
Hebei,China,2020-03-12T05:33:02,318,6,308,39.549,116.1306,31
,Belgium,2020-03-11T18:52:03,314,3,1,50.8333,4,32
,Austria,2020-03-12T11:13:29,302,1,4,47.5162,14.5501,33
Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874,34
,Qatar,2020-03-11T18:52:03,262,0,0,25.3548,51.1839,35
Guangxi,China,2020-03-12T00:33:06,252,2,241,23.8298,108.7881,36
Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701,37
California,US,2020-03-12T23:44:33,221,4,6,36.1162,-119.6816,38
,Bahrain,2020-03-11T22:33:03,195,0,35,26.0275,50.55,39
,Singapore,2020-03-11T13:53:24,178,0,96,1.2833,103.8333,40
Yunnan,China,2020-03-11T02:18:14,174,2,170,24.974,101.487,41
Hainan,China,2020-03-12T03:53:02,168,6,160,19.1959,109.7453,42
,Malaysia,2020-03-11T11:33:08,149,0,26,2.5,112.5,43
Guizhou,China,2020-03-12T01:13:06,146,2,137,26.8154,106.8748,44
Tianjin,China,2020-03-12T01:53:03,136,3,132,39.3054,117.323,45
Shanxi,China,2020-03-12T09:13:24,133,0,132,37.5777,112.2922,46
,Israel,2020-03-12T21:39:09,131,0,4,31,35,47
Hong Kong,China,2020-03-12T01:53:02,129,3,67,22.3,114.2,48
Gansu,China,2020-03-11T14:33:03,127,2,88,37.8099,101.0583,49
Liaoning,China,2020-03-12T09:53:06,125,1,112,41.2956,122.6085,50
Massachusetts,US,2020-03-12T21:39:09,108,0,1,42.2302,-71.5301,51
,Iceland,2020-03-12T21:39:09,103,0,1,64.9631,-19.0208,52
,Greece,2020-03-11T23:53:02,99,1,0,39.0742,21.8243,53
,Czechia,2020-03-12T01:33:03,94,0,0,49.8175,15.473,54
Jilin,China,2020-03-12T23:44:32,93,1,91,43.6661,126.1923,55
,Slovenia,2020-03-12T13:33:02,89,0,0,46.1512,14.9955,56
,United Arab Emirates,2020-03-12T21:39:09,85,0,17,23.4241,53.8478,57
,Kuwait,2020-03-12T09:13:24,80,0,5,29.5,47.75,58
Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401,59
Inner Mongolia,China,2020-03-11T03:53:03,75,1,71,44.0935,113.9448,60
Ningxia,China,2020-03-11T09:33:12,75,0,72,37.2692,106.1655,61
,India,2020-03-12T08:33:13,73,1,4,21,78,62
,Iraq,2020-03-12T08:33:13,71,8,15,33,44,63
,Thailand,2020-03-12T08:53:02,70,1,34,15.87,100.9925,64
,San Marino,2020-03-12T08:53:02,69,3,0,43.9424,12.4578,65
,Egypt,2020-03-12T08:53:02,67,1,27,26,30,66
New South Wales,Australia,2020-03-11T18:52:04,65,2,4,-33.8688,151.2093,67
,Lebanon,2020-03-12T09:13:24,61,3,1,33.8547,35.8623,68
,Finland,2020-03-11T13:33:10,59,0,1,64,26,69
,Portugal,2020-03-11T13:33:11,59,0,0,39.3999,-8.2245,70
,Brazil,2020-03-12T01:33:03,52,0,0,-14.235,-51.9253,71
,Philippines,2020-03-12T09:53:06,52,2,2,12.8797,121.774,72
,Taiwan*,2020-03-12T08:13:09,49,1,20,23.7,121,73
,Romania,2020-03-12T09:13:24,49,0,6,46,25,74
,Poland,2020-03-12T13:33:02,49,1,0,51.9194,19.1451,75
Diamond Princess,US,2020-03-10T02:33:04,46,0,0,35.4437,139.638,76
British Columbia,Canada,2020-03-12T01:53:03,46,1,4,53.7267,-127.6476,77
,Saudi Arabia,2020-03-12T01:17:58,45,0,1,24,45,78
Colorado,US,2020-03-12T21:39:10,45,0,0,39.0598,-105.3111,79
,Ireland,2020-03-11T21:33:03,43,1,0,53.1424,-7.6921,80
Ontario,Canada,2020-03-12T01:53:03,42,0,4,51.2538,-85.3232,81
,Vietnam,2020-03-12T09:33:03,39,0,16,16,108,82
Florida,US,2020-03-12T21:39:10,35,2,0,27.7663,-81.6868,83
,Indonesia,2020-03-11T11:14:26,34,1,2,-0.7893,113.9213,84
Illinois,US,2020-03-12T23:44:33,32,0,2,40.3495,-88.9861,85
Georgia,US,2020-03-12T21:39:10,31,1,0,33.0406,-83.6431,86
New Jersey,US,2020-03-12T21:39:10,29,1,0,40.2989,-74.521,87
,Russia,2020-03-12T08:53:02,28,0,3,60,90,88
Texas,US,2020-03-12T23:44:33,27,0,0,31.0545,-97.5635,89
,Georgia,2020-03-11T22:13:12,24,0,0,42.3154,43.3569,90
,Algeria,2020-03-12T09:13:24,24,1,8,28.0339,1.6596,91
Oregon,US,2020-03-12T23:44:33,24,0,0,44.572,-122.0709,92
,Chile,2020-03-11T22:13:12,23,0,0,-35.6751,-71.543,93
,Albania,2020-03-12T21:39:09,23,1,0,41.1533,20.1683,94
,Costa Rica,2020-03-12T01:33:03,22,0,0,9.7489,-83.7534,95
Pennsylvania,US,2020-03-12T21:39:10,22,0,0,40.5908,-77.2098,96
Grand Princess,US,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655,97
Victoria,Australia,2020-03-11T18:52:04,21,0,7,-37.8136,144.9631,98
Queensland,Australia,2020-03-11T18:52:04,20,0,8,-28.0167,153.4,99
,Pakistan,2020-03-12T08:53:02,20,0,2,30.3753,69.3451,100
,Argentina,2020-03-11T02:18:16,19,1,0,-38.4161,-63.6167,101
,Croatia,2020-03-11T22:13:12,19,0,0,45.1667,15.5,102
Alberta,Canada,2020-03-11T23:13:07,19,0,0,53.9333,-116.5765,103
,Serbia,2020-03-12T09:13:24,19,0,0,44.0165,21.0059,104
,Luxembourg,2020-03-12T10:53:03,19,0,0,49.8144,6.1317,105
Louisiana,US,2020-03-12T23:44:33,19,0,0,31.1695,-91.8678,106
,Oman,2020-03-10T08:33:02,18,0,9,21,57,107
Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956,108
Tennessee,US,2020-03-12T21:39:10,18,0,0,35.7478,-86.6923,109
,Ecuador,2020-03-11T09:33:12,17,0,0,-1.8312,-78.1834,110
,South Africa,2020-03-12T09:13:24,17,0,0,-30.5595,22.9375,111
Virginia,US,2020-03-12T21:39:10,17,0,0,37.7693,-78.17,112
,Estonia,2020-03-11T22:13:12,16,0,0,58.5953,25.0136,113
,Slovakia,2020-03-12T13:33:02,16,0,0,48.669,19.699,114
Iowa,US,2020-03-12T23:44:33,16,0,0,42.0115,-93.2105,115
