LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion
1,AFG,Afghanistan,,16,0,0,33.9391,67.71,36442712,640733.2562,0.44
2,ALB,Albania,,42,1,0,41.1533,20.1683,2935139,28195.68869,14.31
3,DZA,Algeria,,48,4,12,28.0339,1.6596,43007779,2315206.619,1.12
4,AND,Andorra,,1,0,1,42.5063,1.5218,69654,452.0699393,14.36
5,ATG,Antigua and Barbuda,,1,0,0,17.0608,-61.7964,96412,430.6744232,10.37
6,ARG,Argentina,,45,2,1,-38.4161,-63.6167,45516865,2747226.631,0.99
7,ARM,Armenia,,26,0,0,40.0691,45.0382,3038110,28400.05489,8.56
8,ABW,Aruba,,2,0,0,12.5211,-69.9683,105396,183.0495414,18.98
15,AUS,Australia,Australian Capital Territory,1,0,0,-35.4735,149.0124,425404,2351.329794,2.35
9,AUS,Australia,New South Wales,134,2,4,-33.8688,151.2093,8234982,799786.9365,16.27
16,AUS,Australia,Northern Territory,1,0,0,-12.4634,130.8456,250560,1350138.397,3.99
10,AUS,Australia,Queensland,61,0,8,-28.0167,153.4,5152836,1732946.132,11.84
12,AUS,Australia,South Australia,20,0,3,-34.9285,138.6007,1900493,962695.5183,10.52
14,AUS,Australia,Tasmania,6,0,0,-41.4545,145.9707,589431,67328.30746,10.18
11,AUS,Australia,Victoria,57,0,8,-37.8136,144.9631,6376059,226083.5281,8.94
13,AUS,Australia,Western Australia,17,1,0,-31.9505,115.8605,2661811,2521421.181,6.39
17,AUT,Austria,,860,1,6,47.5162,14.5501,8655711,83223.51141,99.36
18,AZE,Azerbaijan,,23,1,6,40.1431,47.5769,10240569,85094.86075,2.25
19,BHR,Bahrain,,214,0,60,26.0667,50.5577,1486112,667.4820356,144
20,BGD,Bangladesh,,5,0,0,23.685,90.3563,170466778,136462.4647,0.03
21,BLR,Belarus,,27,0,3,53.7098,27.9534,9364590,204635.9936,2.88
22,BEL,Belgium,,886,4,1,50.5039,4.4699,11634324,30560.77645,76.15
23,BTN,Bhutan,,1,0,0,27.5142,90.4336,817335,39186.50472,1.22
24,BOL,Bolivia (Plurinational State of),,10,0,0,-16.2902,-63.5887,11548298,1061973.107,0.87
25,BIH,Bosnia and Herzegovina,,24,0,0,43.9159,17.6791,3758143,50838.7433,6.39
26,BRA,Brazil,,162,0,0,-14.235,-51.9253,215997612,8432161.668,0.75
27,BRN,Brunei Darussalam,,50,0,0,4.5353,114.7277,450477,5789.167329,110.99
28,BGR,Bulgaria,,51,2,0,42.7339,25.4858,6884346,111090.193,7.41
29,BFA,Burkina Faso,,3,0,0,12.2383,-1.5616,20860547,275928.9431,0.14
30,KHM,Cambodia,,7,0,1,12.5657,104.991,16809181,178140.6787,0.42
31,CMR,Cameroon,,2,0,0,3.848,11.5021,26332957,466459.6737,0.08
34,CAN,Canada,Alberta,39,0,0,53.9333,-116.5765,4429796,643584.4285,8.8
33,CAN,Canada,British Columbia / Colombie-Britannique,73,1,4,53.7267,-127.6476,5016937,897810.1512,14.55
