LOC_id,Date,Confirmed,ISOALPHA,COUNTRYNM,NAME1,population,land,lag_confirm,time_point,new_cases,log_conf
1,2/24/2020,1,AFG,Afghanistan,,36442712,640733.2562,.,1,.,0
1,2/25/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,2,0,0
1,2/26/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,3,0,0
1,2/27/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,4,0,0
1,2/28/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,5,0,0
1,2/29/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,6,0,0
1,3/1/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,7,0,0
1,3/2/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,8,0,0
1,3/3/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,9,0,0
1,3/4/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,10,0,0
1,3/5/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,11,0,0
1,3/6/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,12,0,0
1,3/7/2020,1,AFG,Afghanistan,,36442712,640733.2562,1,13,0,0
1,3/8/2020,4,AFG,Afghanistan,,36442712,640733.2562,1,14,3,2
1,3/9/2020,4,AFG,Afghanistan,,36442712,640733.2562,4,15,0,2
1,3/10/2020,5,AFG,Afghanistan,,36442712,640733.2562,4,16,1,2.3219
1,3/11/2020,7,AFG,Afghanistan,,36442712,640733.2562,5,17,2,2.8074
1,3/12/2020,7,AFG,Afghanistan,,36442712,640733.2562,7,18,0,2.8074
1,3/13/2020,7,AFG,Afghanistan,,36442712,640733.2562,7,19,0,2.8074
1,3/14/2020,11,AFG,Afghanistan,,36442712,640733.2562,7,20,4,3.4594
1,3/15/2020,16,AFG,Afghanistan,,36442712,640733.2562,11,21,5,4
1,3/16/2020,21,AFG,Afghanistan,,36442712,640733.2562,16,22,5,4.3923
3,2/25/2020,1,DZA,Algeria,,43007779,2315206.619,.,1,.,0
3,2/26/2020,1,DZA,Algeria,,43007779,2315206.619,1,2,0,0
3,2/27/2020,1,DZA,Algeria,,43007779,2315206.619,1,3,0,0
3,2/28/2020,1,DZA,Algeria,,43007779,2315206.619,1,4,0,0
3,2/29/2020,1,DZA,Algeria,,43007779,2315206.619,1,5,0,0
3,3/1/2020,1,DZA,Algeria,,43007779,2315206.619,1,6,0,0
3,3/2/2020,3,DZA,Algeria,,43007779,2315206.619,1,7,2,1.585
3,3/3/2020,5,DZA,Algeria,,43007779,2315206.619,3,8,2,2.3219
3,3/4/2020,12,DZA,Algeria,,43007779,2315206.619,5,9,7,3.585
3,3/5/2020,12,DZA,Algeria,,43007779,2315206.619,12,10,0,3.585
3,3/6/2020,17,DZA,Algeria,,43007779,2315206.619,12,11,5,4.0875
3,3/7/2020,17,DZA,Algeria,,43007779,2315206.619,17,12,0,4.0875
3,3/8/2020,19,DZA,Algeria,,43007779,2315206.619,17,13,2,4.2479
3,3/9/2020,20,DZA,Algeria,,43007779,2315206.619,19,14,1,4.3219
3,3/10/2020,20,DZA,Algeria,,43007779,2315206.619,20,15,0,4.3219
3,3/11/2020,20,DZA,Algeria,,43007779,2315206.619,20,16,0,4.3219
3,3/12/2020,24,DZA,Algeria,,43007779,2315206.619,20,17,4,4.585
3,3/13/2020,26,DZA,Algeria,,43007779,2315206.619,24,18,2,4.7004
3,3/14/2020,37,DZA,Algeria,,43007779,2315206.619,26,19,11,5.2095
3,3/15/2020,48,DZA,Algeria,,43007779,2315206.619,37,20,11,5.585
3,3/16/2020,54,DZA,Algeria,,43007779,2315206.619,48,21,6,5.7549
6,3/3/2020,1,ARG,Argentina,,45516865,2747226.631,.,1,.,0
6,3/4/2020,1,ARG,Argentina,,45516865,2747226.631,1,2,0,0
6,3/5/2020,1,ARG,Argentina,,45516865,2747226.631,1,3,0,0
6,3/6/2020,2,ARG,Argentina,,45516865,2747226.631,1,4,1,1
6,3/7/2020,8,ARG,Argentina,,45516865,2747226.631,2,5,6,3
6,3/8/2020,12,ARG,Argentina,,45516865,2747226.631,8,6,4,3.585
6,3/9/2020,12,ARG,Argentina,,45516865,2747226.631,12,7,0,3.585
6,3/10/2020,17,ARG,Argentina,,45516865,2747226.631,12,8,5,4.0875
6,3/11/2020,19,ARG,Argentina,,45516865,2747226.631,17,9,2,4.2479
6,3/12/2020,19,ARG,Argentina,,45516865,2747226.631,19,10,0,4.2479
6,3/13/2020,31,ARG,Argentina,,45516865,2747226.631,19,11,12,4.9542
6,3/14/2020,34,ARG,Argentina,,45516865,2747226.631,31,12,3,5.0875
6,3/15/2020,45,ARG,Argentina,,45516865,2747226.631,34,13,11,5.4919
6,3/16/2020,56,ARG,Argentina,,45516865,2747226.631,45,14,11,5.8074
7,3/1/2020,1,ARM,Armenia,,3038110,28400.05489,.,1,.,0
7,3/2/2020,1,ARM,Armenia,,3038110,28400.05489,1,2,0,0
7,3/3/2020,1,ARM,Armenia,,3038110,28400.05489,1,3,0,0
7,3/4/2020,1,ARM,Armenia,,3038110,28400.05489,1,4,0,0
7,3/5/2020,1,ARM,Armenia,,3038110,28400.05489,1,5,0,0
7,3/6/2020,1,ARM,Armenia,,3038110,28400.05489,1,6,0,0
7,3/7/2020,1,ARM,Armenia,,3038110,28400.05489,1,7,0,0
7,3/8/2020,1,ARM,Armenia,,3038110,28400.05489,1,8,0,0
7,3/9/2020,1,ARM,Armenia,,3038110,28400.05489,1,9,0,0
7,3/10/2020,1,ARM,Armenia,,3038110,28400.05489,1,10,0,0
7,3/11/2020,1,ARM,Armenia,,3038110,28400.05489,1,11,0,0
7,3/12/2020,4,ARM,Armenia,,3038110,28400.05489,1,12,3,2
7,3/13/2020,8,ARM,Armenia,,3038110,28400.05489,4,13,4,3
7,3/14/2020,18,ARM,Armenia,,3038110,28400.05489,8,14,10,4.1699
7,3/15/2020,26,ARM,Armenia,,3038110,28400.05489,18,15,8,4.7004
7,3/16/2020,52,ARM,Armenia,,3038110,28400.05489,26,16,26,5.7004
10,1/26/2020,3,AUS,Australia,New South Wales,8234982,799786.9365,.,1,.,1.585
10,1/27/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,3,2,1,2
10,1/28/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,3,0,2
10,1/29/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,4,0,2
10,1/30/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,5,0,2
10,1/31/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,6,0,2
10,2/1/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,7,0,2
10,2/2/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,8,0,2
10,2/3/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,9,0,2
10,2/4/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,10,0,2
10,2/5/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,11,0,2
10,2/6/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,12,0,2
10,2/7/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,13,0,2
10,2/8/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,14,0,2
10,2/9/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,15,0,2
10,2/10/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,16,0,2
10,2/11/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,17,0,2
10,2/12/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,18,0,2
10,2/13/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,19,0,2
10,2/14/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,20,0,2
10,2/15/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,21,0,2
10,2/16/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,22,0,2
10,2/17/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,23,0,2
10,2/18/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,24,0,2
10,2/19/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,25,0,2
10,2/20/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,26,0,2
10,2/21/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,27,0,2
10,2/22/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,28,0,2
10,2/23/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,29,0,2
10,2/24/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,30,0,2
10,2/25/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,31,0,2
10,2/26/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,32,0,2
10,2/27/2020,4,AUS,Australia,New South Wales,8234982,799786.9365,4,33,0,2
