,LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),temp_gp,Wind Speed (mph),Log Case,Trans Case,density,density_gp
0,1,AFG,Afghanistan,,16,0,0,33.9391,67.71,36442712.0,640733.2562,0.44,28.31,89,0,2.51,L Temp,5.6147194,4.008988783227255,-0.888968687611256,23350057524518.812,H Density
1,2,ALB,Albania,,42,1,0,41.1533,20.1683,2935139.0,28195.68869,14.31,37.4,93,39,2.24,L Temp,5.010745600000001,5.3957483281790335,3.8489984304000227,82758265505.87791,L Density
2,3,DZA,Algeria,,48,4,12,28.0339,1.6596,43007779.0,2315206.619,1.12,64.31,31,0,14.12,M Temp,31.5855928,5.587964988882679,0.2868811477881618,99571894609289.2,H Density
3,4,AND,Andorra,,1,0,1,42.5063,1.5218,69654.0,452.0699393,14.36,48.99,89,45,4.9,M Temp,10.961006000000001,0.13750352374993502,3.853995647176393,31488479.5520022,L Density
4,5,ATG,Antigua and Barbuda,,1,0,0,17.0608,-61.7964,96412.0,430.6744232,10.37,77.0,73,40,6.93,H Temp,15.5019942,0.13750352374993502,3.3881895371560837,41522182.4895584,L Density
5,6,ARG,Argentina,,45,2,1,-38.4161,-63.6167,45516865.0,2747226.631,0.99,61.43,88,0,6.2,M Temp,13.869028000000002,5.4950555283680185,0.12432813500220177,125045143687631.81,H Density
6,7,ARM,Armenia,,26,0,0,40.0691,45.0382,3038110.0,28400.05489,8.56,41.0,86,90,3.36,L Temp,7.5161184,4.705977901682522,3.114367024952,86282490761.8579,M Density
7,8,ABW,Aruba,,2,0,0,12.5211,-69.9683,105396.0,183.0495414,18.98,78.8,74,40,13.87,H Temp,31.0263578,1.070389327891398,4.2539892662307865,19292689.4653944,L Density
8,15,AUS,Australia,Australian Capital Territory,1,0,0,-35.4735,149.0124,425404.0,2351.329794,2.35,78.01,38,28,14.99,H Temp,33.5317306,0.13750352374993502,1.292781749227846,1000265099.686776,L Density
9,9,AUS,Australia,New South Wales,134,2,4,-33.8688,151.2093,8234982.0,799786.9365,16.27,86.0,44,0,14.99,H Temp,33.5317306,7.067165427017112,4.032982416699429,6586231025912.643,M Density
10,16,AUS,Australia,Northern Territory,1,0,0,-12.4634,130.8456,250560.0,1350138.3969999999,3.99,90.0,79,75,11.41,H Temp,25.523485400000002,0.13750352374993502,2.032100843167024,338290676752.31995,M Density
11,10,AUS,Australia,Queensland,61,0,8,-28.0167,153.4,5152836.0,1732946.132,11.84,82.0,57,1,17.22,H Temp,38.5201068,5.933100474931368,3.5777309314900805,8929587215030.352,H Density
12,12,AUS,Australia,South Australia,20,0,3,-34.9285,138.6007,1900493.0,962695.5183,10.52,91.0,24,69,9.17,H Temp,20.512739800000002,4.329123596291566,3.408711861029429,1829596093660.522,M Density
13,14,AUS,Australia,Tasmania,6,0,0,-41.4545,145.9707,589431.0,67328.30746,10.18,64.0,79,100,8.01,M Temp,17.9178894,2.608809242675524,3.361768359419153,39685391594.45526,L Density
14,11,AUS,Australia,Victoria,57,0,8,-37.8136,144.9631,6376059.0,226083.5281,8.94,82.99,34,100,19.46,H Temp,43.53085240000001,5.83541884047548,3.176322772640463,1441521914093.7578,M Density
15,13,AUS,Australia,Western Australia,17,1,0,-31.9505,115.8605,2661811.0,2521421.181,6.39,73.0,43,40,12.75,H Temp,28.520985000000003,4.095924419998536,2.6982184782244136,6711546635218.791,M Density
16,17,AUT,Austria,,860,1,6,47.5162,14.5501,8655711.0,83223.51141,99.36,39.99,100,57,1.12,L Temp,2.5053728000000004,9.748360595074317,6.636044526028037,720358663170.1626,M Density
17,18,AZE,Azerbaijan,,23,1,6,40.1431,47.5769,10240569.0,85094.86075,2.25,41.0,80,90,5.82,L Temp,13.018990800000001,4.529820946528695,1.232660756790275,871419793055.7668,M Density
18,19,BHR,Bahrain,,214,0,60,26.0667,50.5577,1486112.0,667.4820356,144.0,73.4,73,11,13.87,H Temp,31.0263578,7.742140985498147,7.170926525287385,991953062.8895873,L Density
19,20,BGD,Bangladesh,,5,0,0,23.685,90.3563,170466778.0,136462.4647,0.03,86.0,51,20,4.23,H Temp,9.462256200000002,2.350497247084133,-2.9434164716336326,23262316675347.74,H Density
20,21,BLR,Belarus,,27,0,3,53.7098,27.9534,9364590.0,204635.9936,2.88,30.2,100,81,6.71,L Temp,15.009867400000001,4.760220946466509,1.5753123306874368,1916332179306.6238,M Density
21,22,BEL,Belgium,,886,4,1,50.5039,4.4699,11634324.0,30560.77645,76.15,46.0,93,40,6.93,M Temp,15.5019942,9.791325711763914,6.252665432450248,355553974910.8698,M Density
22,23,BTN,Bhutan,,1,0,0,27.5142,90.4336,817335.0,39186.50472,1.22,48.29,55,24,5.91,M Temp,13.2203154,0.13750352374993502,0.4005379295837288,32028501835.321198,L Density
23,24,BOL,Bolivia (Plurinational State of),,10,0,0,-16.2902,-63.5887,11548298.0,1061973.107,0.87,74.39,90,100,2.89,H Temp,6.4647566,3.3362833878644325,-0.043943347587597055,12263981907621.887,H Density
24,25,BIH,Bosnia and Herzegovina,,24,0,0,43.9159,17.6791,3758143.0,50838.7433,6.39,32.0,81,62,1.12,L Temp,2.5053728000000004,4.590961241342599,2.6982184782244136,191059267261.6919,M Density
25,26,BRA,Brazil,,162,0,0,-14.235,-51.9253,215997612.0,8432161.668,0.75,71.33,89,0,0.49,M Temp,1.0961006,7.340740280630179,-0.23446525363702297,1821326784285936.8,H Density
26,27,BRN,Brunei Darussalam,,50,0,0,4.5353,114.7277,450477.0,5789.167329,110.99,86.0,79,75,4.7,H Temp,10.513618000000001,5.646738698307846,6.7955851451180616,2607886730.865933,L Density
27,28,BGR,Bulgaria,,51,2,0,42.7339,25.4858,6884346.0,111090.19300000001,7.41,37.99,100,33,1.12,L Temp,2.5053728000000004,5.675251386050259,2.9088129077395473,764783325818.7781,M Density
28,29,BFA,Burkina Faso,,3,0,0,12.2383,-1.5616,20860547.0,275928.9431,0.14,87.8,43,0,9.17,H Temp,20.512739800000002,1.632268215499513,-2.0588936890535683,5756028686197.875,M Density
29,30,KHM,Cambodia,,7,0,1,12.5657,104.991,16809181.0,178140.6787,0.42,98.33,29,34,8.01,H Temp,17.9178894,2.8278190246173196,-0.9434164716336325,2994398911731.1445,M Density
30,31,CMR,Cameroon,,2,0,0,3.8480000000000003,11.5021,26332957.0,466459.6737,0.08,73.4,100,75,1.57,H Temp,3.5119958000000002,1.070389327891398,-2.473931188332412,12283262529776.13,H Density
31,34,CAN,Canada,Alberta,39,0,0,53.9333,-116.5765,4429796.0,643584.4285,8.8,21.2,62,1,4.7,L Temp,10.513618000000001,5.28909670241999,3.1538053360790355,2850947727031.586,M Density
32,33,CAN,Canada,British Columbia / Colombie-Britannique,73,1,4,53.7267,-127.6476,5016937.0,897810.1512,14.55,16.25,96,50,7.11,L Temp,15.904643400000001,6.191799501065075,3.8728287595348854,4504256966530.874,M Density
33,36,CAN,Canada,Manitoba,4,0,0,53.7609,-98.8139,1339317.0,563022.4422,2.99,-14.8,83,1,2.24,L Temp,5.010745600000001,2.035623909730721,1.62760683812965,754065528219.9774,M Density
34,37,CAN,Canada,New Brunswick / Nouveau-Brunswick,2,0,0,46.5653,-66.4619,801210.0,71453.64492,2.5,30.29,76,67,12.57,L Temp,28.118335800000004,1.070389327891398,1.3785116232537298,57249374846.3532,L Density
35,39,CAN,Canada,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1,0,0,53.1355,-57.6604,538027.0,383315.2934,1.86,23.63,84,100,16.02,L Temp,35.8357788,0.13750352374993502,0.9708536543404837,206233977362.12183,M Density
36,32,CAN,Canada,Ontario,104,0,4,51.2538,-85.3232,14387151.0,928956.8638,7.23,6.8,65,1,4.7,L Temp,10.513618000000001,6.701826258412055,2.873813198359087,13365042671977.035,H Density
37,40,CAN,Canada,Prince Edward Island / Ile-du-Prince-Edouard,1,0,0,46.5107,-63.4168,150043.0,5689.016785,6.66,33.01,98,90,6.93,L Temp,15.5019942,0.13750352374993502,2.7570232465074596,853597145.471755,L Density
38,35,CAN,Canada,Quebec / Quebec,24,0,0,52.9399,-73.5491,8694212.0,1409293.743,2.76,-9.13,93,86,11.92,L Temp,26.664324800000003,4.590961241342599,1.5160151470036647,12252698571915.516,H Density
39,38,CAN,Canada,Saskatchewan,2,0,0,52.9399,-106.4509,1173767.0,601098.114,1.7,5.0,50,20,2.24,L Temp,5.010745600000001,1.070389327891398,0.8479969065549501,705549129975.438,M Density
40,41,CYM,Cayman Islands,,1,0,0,19.3133,-81.2546,63891.0,276.57901910000004,15.65,79.0,78,0,11.99,H Temp,26.8209106,0.13750352374993502,3.9772799234999163,17670910.109318104,L Density
