Country,Yr and Survey 2007-2018,Index Value,Headcount (%),Intensity of deprivation(%),# of poor (thousands),# of poor 2017 (thousands),Inequality among poor -Value,Population in severe multi poverty (%),Population vunerable to multi poverty (%),Health Contrib to Poverty (%),Education Contrib to Poverty %,Standard of living %,National Poverty Line % - 2007-2018,PPP $1.90/day $ 2007-2017
Afghanistan,2015/2016 D,0.272,55.9,48.6,"19,376","19,865",0.02,24.9,18.1,10,45,45,54.5,
Albania,2017/2018 D,0.003,0.7,39.1,21,21,..,0.1,5,28.3,55.1,16.7,14.3,1.1
Algeria,2012/2013 M,0.008,2.1,38.8,805,868,0.006,0.3,5.8,29.9,46.8,23.2,5.5,0.5
Angola,2015/2016 D,0.282,51.1,55.3,"14,725","15,221",0.024,32.5,15.5,21.2,32.1,46.8,36.6,30.1
Armenia,2015/2016 D,0.001,0.2,36.2,5,5,..,0,2.7,33.1,36.8,30.1,25.7,1.4
Bangladesh,2014 D,0.198,41.7,47.5,"66,468","68,663",0.016,16.7,21.4,23.5,29.2,47.3,24.3,14.8
Barbados,2012 M,0.009,2.5,34.2,7,7,..,0,0.5,96,0.7,3.3,,
Belize,2015/2016 M,0.017,4.3,39.8,16,16,0.007,0.6,8.4,39.5,20.9,39.6,,
Benin,2017/2018 D,0.368,66.8,55,"7,672","7,465",0.025,40.9,14.7,20.8,36.3,42.9,40.1,49.5
Bhutan,2010 M,0.175,37.3,46.8,272,302,0.016,14.7,17.7,24.2,36.6,39.2,8.2,1.5
Bolivia (Plurinational State of),2008 D,0.094,20.4,46,"1,958","2,254",0.014,7.1,15.7,21.6,26.6,51.8,36.4,5.8
Bosnia and Herzegovina,2011/2012 M,0.008,2.2,37.9,80,77,0.002,0.1,4.1,79.7,7.2,13.1,16.9,0.1
Brazil,2015 N,0.016,3.8,42.5,"7,913","8,041",0.008,0.9,6.2,49.8,22.9,27.3,26.5,4.8
Burkina Faso,2010 D,0.519,83.8,61.9,"13,083","16,091",0.027,64.8,7.4,20,40.6,39.4,40.1,43.7
Burundi,2016/2017 D,0.403,74.3,54.3,"8,067","8,067",0.022,45.3,16.3,23.3,27.5,49.2,64.9,71.8
Cambodia,2014 D,0.17,37.2,45.8,"5,679","5,952",0.015,13.2,21.1,21.8,31.7,46.6,17.7,
Cameroon,2014 M,0.243,45.3,53.5,"10,081","10,903",0.026,25.6,17.3,23.2,28.2,48.6,37.5,23.8
Central African Republic,2010 M,0.465,79.4,58.6,"3,530","3,697",0.028,54.7,13.1,27.8,25.7,46.5,62,66.3
Chad,2014/2015 D,0.533,85.7,62.3,"12,002","12,765",0.026,66.1,9.9,20.1,34.4,45.5,46.7,38.4
China,2014 N,0.016,3.9,41.3,"53,688","54,437",0.005,0.3,17.1,35.2,39.2,25.5,3.1,0.7
Colombia,2015/2016 D,0.02,4.8,40.6,"2,358","2,378",0.009,0.8,6.2,12,39.5,48.5,27,3.9
