,Year and survey,Index Value,Headcount (%),Intensity of deprivation(%),Number of poor (thousands),(%),,(%),,Nutrition Deprived %,Child mortality %,Years of schooling deprived %,School attendance deprived %,Cooking fuel deprived %,Sanitation deprived%,Drinking water deprived%,Electricity deprived%,Housing deprived %,Assets deprived %,
Bangladesh,2004 D,0.344,66.3,52.0,"93,657",,,,,47.4,5.6,41.8,20.7,64.4,34.5,2.5,48.2,65.6,58.1,
Bangladesh,2014 D,0.216,46.7,46.2,"74,374",,,,,28.9,2.4,26.3,10.1,44.5,21.8,1.9,26.7,46.1,44.3,
Bangladesh,2014 D,0.198,41.7,47.5,"66,468",16.7,,21.4,,25.6,2.3,25.2,9.6,40.0,30.7,4.3,26.5,38.7,28.3,
,,,,,,,,,,,,,,,,,,,,
Cambodia,2010 D,0.228,47.7,47.8,"6,825",,,,,29.2,3.1,26.4,10.4,47.1,42.4,27.2,42.8,29.2,14.6,
Cambodia,2014 D,0.170,37.2,45.8,"5,679",13.2,,21.1,,20.4,1.8,21.6,10.8,36.2,30.6,21.3,26.2,21.8,6.6,
Cambodia,2014 D,0.170,37.2,45.8,"5,679",13.2,,21.1,,20.4,1.8,21.6,10.8,36.2,30.6,21.3,26.2,21.8,6.6,
,,,,,,,,,,,,,,,,,,,,
Congo (Democratic Republic of the),2007 D,0.439,77.6,56.6,"45,335",,,,,49.4,14.4,21.7,41.5,77.3,66.4,62.6,73.2,70.9,59.3,
Congo (Democratic Republic of the),2013/2014 D,0.388,73.7,52.6,"54,350",,,,,48.9,11.8,18.4,24.5,73.5,61.8,59.9,70.7,68.8,52.2,
Congo (Democratic Republic of the),2013/2014 D,0.389,74.0,52.5,"54,590",43.9,,16.8,,49.1,11.8,18.4,24.6,73.8,62.0,60.0,70.8,69.8,52.2,
,,,,,,,,,,,,,,,,,,,,
Ethiopia,2011 D,0.545,88.4,61.6,"79,558",,,,,59.7,7.3,57.3,40.1,87.9,82.8,72.4,79.2,87.8,76.9,
Ethiopia,2016 D,0.489,83.5,58.5,"85,520",,,,,52.2,5.6,52.5,33.9,82.7,80.4,60.6,74.4,83.0,66.2,
Ethiopia,2016 D,0.489,83.5,58.5,"85,511",61.5,,8.9,,52.2,5.6,52.5,33.9,82.7,80.4,60.6,74.4,82.9,66.1,
,,,,,,,,,,,,,,,,,,,,
Haiti,2012 D,0.237,48.4,48.9,"4,982",,,,,19.3,4.8,32.6,6.2,48.0,43.1,36.2,42.5,34.5,33.3,
Haiti,2016/2017 D,0.192,39.9,48.1,"4,382",,,,,15.5,3.8,22.8,6.5,39.7,35.1,28.6,35.7,29.0,31.4,
Haiti,2016/2017 D,0.200,41.3,48.4,"4,532",18.5,,21.8,,18.3,3.9,22.8,6.6,41.0,36.1,29.2,36.7,29.7,32.0,
,,,,,,,,,,,,,,,,,,,,
India,2005/2006 D,0.283,55.1,51.3,"640,550",,,,,44.3,4.5,24.0,19.8,52.9,50.4,16.6,29.1,44.9,37.6,
India,2015/2016 D,0.123,27.9,43.9,"369,546",,,,,21.2,2.2,11.7,5.5,26.2,24.6,6.2,8.6,23.6,9.5,
India,2015/2016 D,0.123,27.9,43.9,"369,546",8.8,,19.3,,21.2,2.2,11.7,5.5,26.2,24.6,6.2,8.6,23.6,9.5,
,,,,,,,,,,,,,,,,,,,,
Nigeria,2013 D,0.280,50.2,55.8,"86,341",,,,,32.4,11.9,26.1,26.6,49.1,36.0,33.9,36.4,40.9,17.6,
Nigeria,2016/2017 M,0.295,52.1,55.6,"99,445",,,,,35.8,12.0,25.7,31.2,51.0,39.3,31.6,37.9,39.0,17.6,
Nigeria,2016/2017 M,0.291,51.4,56.6,"98,175",32.3,,16.8,,35.4,11.8,25.3,30.9,50.4,38.8,30.9,37.5,38.6,17.4,
,,,,,,,,,,,,,,,,,,,,
Pakistan,2012/2013 D,0.233,44.5,52.3,"80,818",,,,,32.3,8.7,25.7,27.5,38.2,29.4,9.1,6.3,35.9,17.3,
Pakistan,2017/2018 D,0.198,38.3,51.7,"76,976",,,,,27.0,5.9,24.8,24.3,31.2,21.7,7.9,7.1,30.6,12.2,
Pakistan,2017/2018 D,0.198,38.3,51.7,"76,976",21.5,,12.9,,27.0,5.9,24.8,24.3,31.2,21.7,7.9,7.1,30.6,12.2,
,,,,,,,,,,,,,,,,,,,,
Peru,2006 D,0.088,20.2,43.6,"5,647",,,,,9.2,1.0,8.1,2.7,18.9,17.2,11.9,13.2,19.9,14.6,
Peru,2012 D,0.053,12.7,41.6,"3,818",,,,,5.9,0.5,5.6,1.9,11.5,11.2,6.0,6.0,12.5,6.0,
Peru,2012 D,0.053,12.7,41.6,"3,818",2.9,,12.5,,5.9,0.5,5.6,1.9,11.5,11.2,6.0,6.0,12.5,6.0,
,,,,,,,,,,,,,,,,,,,,
Viet Nam,2010/2011 M,0.039,9.3,42.1,"8,290",,,,,—,5.0,4.4,1.7,7.3,5.9,2.1,0.5,4.4,1.7,
Viet Nam,2013/2014 M,0.036,8.8,41.3,"8,154",,d,,d,—,5.1,3.8,1.5,6.6,5.0,2.0,0.5,3.7,1.2,
Viet Nam,2013/2014 M,0.019,4.9,39.5,"4,530",0.7,d,5.6,d,—,0.9,3.6,1.3,4.4,4.0,1.5,0.4,3.1,1.2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
